epoch,lr,train_loss,train_focal,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.0329,0.0329,0.0000,0.0374,0.7198,0.7919,0.7199,0.7311,0.7090,1776.28
2,0.000099,0.0250,0.0250,0.0000,0.0277,0.7925,0.8900,0.8143,0.7464,0.8958,1992.41
3,0.000098,0.0210,0.0210,0.0000,0.0305,0.7955,0.8801,0.7966,0.8049,0.7886,1948.10
4,0.000095,0.0172,0.0172,0.0000,0.1352,0.5443,0.9150,0.6901,0.5271,0.9990,1959.12
5,0.000091,0.0141,0.0141,0.0000,0.0364,0.7612,0.9097,0.8036,0.6899,0.9622,1960.21
6,0.000086,0.0121,0.0121,0.0000,0.0212,0.8504,0.9511,0.8652,0.7976,0.9452,1952.37
7,0.000080,0.0100,0.0100,0.0000,0.1302,0.5373,0.8778,0.1665,0.9785,0.0910,1957.71
8,0.000073,0.0084,0.0084,0.0000,0.0575,0.7459,0.9069,0.6815,0.9373,0.5354,1774.99
9,0.000066,0.0064,0.0064,0.0000,0.6225,0.5093,0.8664,0.6743,0.5086,1.0000,1919.13
10,0.000058,0.0049,0.0049,0.0000,0.0246,0.8682,0.9539,0.8608,0.9283,0.8024,1932.20
11,0.000051,0.0041,0.0041,0.0000,0.1385,0.6685,0.9322,0.7521,0.6063,0.9904,1945.61
12,0.000043,0.0036,0.0036,0.0000,0.0182,0.8996,0.9672,0.9043,0.8771,0.9332,1888.18
13,0.000035,0.0024,0.0024,0.0000,0.0274,0.8776,0.9724,0.8660,0.9752,0.7788,1883.20
14,0.000028,0.0021,0.0021,0.0000,0.0939,0.6951,0.9673,0.5725,0.9941,0.4020,1894.27
15,0.000021,0.0018,0.0018,0.0000,0.1366,0.6504,0.9613,0.7433,0.5926,0.9968,1828.25
16,0.000015,0.0015,0.0015,0.0000,0.0205,0.8962,0.9752,0.8896,0.9673,0.8234,1853.10
17,0.000010,0.0013,0.0013,0.0000,0.0824,0.7165,0.9704,0.7811,0.6425,0.9960,1948.49
18,0.000006,0.0012,0.0012,0.0000,0.0468,0.8202,0.9725,0.7872,0.9867,0.6548,1977.64
19,0.000003,0.0012,0.0012,0.0000,0.0163,0.9151,0.9756,0.9133,0.9489,0.8802,1973.27
20,0.000002,0.0011,0.0011,0.0000,0.0165,0.9118,0.9745,0.9161,0.8869,0.9472,1890.87
Test_Set,-,-,-,-,-,0.9170,0.9775,0.9148,0.9548,0.8780,-
