epoch,lr,train_loss,train_focal,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.0340,0.0340,0.0016,0.0621,0.5863,0.8116,0.3447,0.8815,0.2142,774.28
2,0.000099,0.0258,0.0258,0.0029,0.1224,0.5157,0.8366,0.0928,0.9531,0.0488,716.17
3,0.000098,0.0216,0.0216,0.0035,0.1270,0.5165,0.9025,0.6775,0.5123,0.9998,718.87
4,0.000095,0.0182,0.0182,0.0034,0.2172,0.5048,0.8987,0.0492,0.9921,0.0252,844.52
5,0.000091,0.0149,0.0149,0.0037,0.1233,0.6472,0.9072,0.7410,0.5908,0.9936,775.07
6,0.000086,0.0122,0.0122,0.0036,0.0256,0.8194,0.9074,0.8293,0.7975,0.8638,760.58
7,0.000080,0.0102,0.0102,0.0035,0.7595,0.5085,0.8718,0.6739,0.5082,1.0000,696.19
8,0.000073,0.0079,0.0079,0.0037,0.0217,0.8664,0.9569,0.8573,0.9369,0.7902,893.24
9,0.000066,0.0063,0.0063,0.0036,0.0936,0.6637,0.9524,0.7506,0.6020,0.9966,760.24
10,0.000058,0.0050,0.0050,0.0036,0.8236,0.4926,0.8860,0.0020,1.0000,0.0010,744.31
11,0.000051,0.0043,0.0043,0.0036,0.0431,0.7867,0.9561,0.7387,0.9776,0.5936,718.58
12,0.000043,0.0033,0.0033,0.0040,0.3673,0.5209,0.9467,0.1075,0.9965,0.0568,873.70
13,0.000035,0.0027,0.0027,0.0041,0.6866,0.5009,0.9199,0.0342,0.9886,0.0174,737.10
14,0.000028,0.0020,0.0020,0.0041,0.0277,0.8679,0.9715,0.8535,0.9768,0.7578,750.88
15,0.000021,0.0017,0.0017,0.0040,0.4535,0.5257,0.9469,0.6817,0.5171,1.0000,738.85
16,0.000015,0.0015,0.0015,0.0040,0.0773,0.7153,0.9674,0.7802,0.6417,0.9950,987.35
17,0.000010,0.0013,0.0013,0.0040,0.0166,0.9116,0.9745,0.9160,0.8857,0.9484,1339.93
18,0.000006,0.0012,0.0012,0.0040,0.0341,0.8543,0.9745,0.8348,0.9842,0.7248,1291.69
19,0.000003,0.0011,0.0011,0.0040,0.0176,0.9110,0.9751,0.9083,0.9530,0.8676,1248.34
20,0.000002,0.0011,0.0011,0.0040,0.0148,0.9216,0.9755,0.9224,0.9276,0.9172,1263.49
Test_Set,-,-,-,-,-,0.9263,0.9781,0.9270,0.9324,0.9216,-
