epoch,lr,train_loss,train_focal,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.0233,0.0233,0.0234,0.0101,0.9465,0.9882,0.9471,0.9505,0.9438,1225.80
2,0.000099,0.0069,0.0069,0.1166,0.0133,0.9114,0.9965,0.9196,0.8533,0.9970,1277.90
3,0.000098,0.0043,0.0043,0.1656,0.0050,0.9740,0.9978,0.9748,0.9608,0.9892,1286.93
4,0.000095,0.0031,0.0031,0.1918,0.0074,0.9639,0.9937,0.9639,0.9815,0.9468,1298.39
5,0.000091,0.0025,0.0025,0.2121,0.0122,0.9209,0.9985,0.9276,0.8662,0.9984,1316.75
6,0.000086,0.0019,0.0019,0.2240,0.0464,0.7203,0.9988,0.7841,0.6448,1.0000,1313.07
7,0.000080,0.0014,0.0014,0.2381,0.1752,0.5365,0.9955,0.6867,0.5228,1.0000,1303.59
8,0.000073,0.0010,0.0010,0.2392,0.0055,0.9736,0.9980,0.9735,0.9933,0.9544,1245.52
9,0.000066,0.0008,0.0008,0.2448,0.0067,0.9728,0.9979,0.9726,0.9956,0.9506,1367.36
10,0.000058,0.0005,0.0005,0.2514,0.0276,0.9251,0.9984,0.9204,1.0000,0.8526,1319.61
11,0.000051,0.0004,0.0004,0.2507,0.0039,0.9800,0.9989,0.9806,0.9679,0.9936,1294.65
12,0.000043,0.0003,0.0003,0.2564,0.0027,0.9868,0.9990,0.9870,0.9854,0.9886,1303.66
13,0.000035,0.0002,0.0002,0.2570,0.0025,0.9882,0.9990,0.9884,0.9894,0.9874,1248.56
14,0.000028,0.0001,0.0001,0.2600,0.0029,0.9871,0.9990,0.9872,0.9945,0.9800,1310.82
15,0.000021,0.0001,0.0001,0.2628,0.0065,0.9748,0.9990,0.9746,0.9973,0.9530,1269.63
16,0.000015,0.0001,0.0001,0.2639,0.0030,0.9850,0.9991,0.9853,0.9783,0.9924,1267.37
17,0.000010,0.0001,0.0001,0.2647,0.0027,0.9883,0.9991,0.9884,0.9941,0.9828,1284.10
18,0.000006,0.0001,0.0001,0.2651,0.0025,0.9883,0.9991,0.9885,0.9870,0.9900,1260.41
19,0.000003,0.0001,0.0001,0.2652,0.0025,0.9891,0.9991,0.9893,0.9926,0.9860,1367.90
20,0.000002,0.0001,0.0001,0.2650,0.0024,0.9891,0.9991,0.9893,0.9908,0.9878,1301.02
Test_Set,-,-,-,-,-,0.9879,0.9984,0.9881,0.9904,0.9858,-
