epoch,lr,train_loss,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.3365,0.2447,0.8931,0.9644,0.8985,0.8765,0.9216,1008.54
2,0.000099,0.1508,0.2931,0.8882,0.9679,0.8986,0.8412,0.9644,999.01
3,0.000098,0.0720,0.3085,0.8956,0.9707,0.9040,0.8565,0.9572,982.50
4,0.000095,0.0475,0.3348,0.9000,0.9731,0.9079,0.8611,0.9600,1001.74
5,0.000091,0.0340,0.2879,0.9178,0.9771,0.9219,0.9006,0.9442,996.11
6,0.000086,0.0282,0.3997,0.9011,0.9756,0.9095,0.8577,0.9680,1010.84
7,0.000080,0.0206,0.2560,0.9260,0.9806,0.9280,0.9282,0.9278,999.99
8,0.000073,0.0169,0.3953,0.9047,0.9741,0.9116,0.8702,0.9572,985.22
9,0.000066,0.0119,0.3624,0.9166,0.9818,0.9227,0.8800,0.9698,1012.39
10,0.000058,0.0068,0.3995,0.9114,0.9800,0.9180,0.8743,0.9664,1028.11
11,0.000051,0.0070,0.2910,0.9329,0.9830,0.9338,0.9466,0.9214,1008.68
12,0.000043,0.0037,0.2780,0.9361,0.9855,0.9387,0.9257,0.9520,1031.68
13,0.000035,0.0025,0.2856,0.9373,0.9858,0.9396,0.9299,0.9496,1012.95
14,0.000028,0.0009,0.2894,0.9380,0.9859,0.9404,0.9280,0.9532,1020.14
15,0.000021,0.0003,0.2794,0.9393,0.9869,0.9409,0.9406,0.9412,1018.52
16,0.000015,0.0003,0.2720,0.9412,0.9871,0.9429,0.9416,0.9442,1017.20
17,0.000010,0.0001,0.3030,0.9387,0.9868,0.9414,0.9238,0.9598,993.37
18,0.000006,0.0003,0.2733,0.9412,0.9873,0.9427,0.9437,0.9418,996.60
19,0.000003,0.0001,0.2734,0.9414,0.9877,0.9427,0.9467,0.9386,1014.42
20,0.000002,0.0001,0.2758,0.9406,0.9874,0.9423,0.9411,0.9434,999.79
Test_Set,-,-,-,0.9417,0.9864,0.9429,0.9475,0.9384,-
