epoch,lr,train_loss,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.5405,0.4502,0.7901,0.8748,0.7799,0.8345,0.7320,3186.98
2,0.000099,0.3946,0.3988,0.8195,0.9063,0.8302,0.7948,0.8690,3157.57
3,0.000098,0.3087,0.3933,0.8267,0.9123,0.8349,0.8087,0.8630,3173.68
4,0.000095,0.2079,0.4374,0.8247,0.9100,0.8342,0.8025,0.8686,3199.88
5,0.000091,0.1057,0.7005,0.7938,0.9062,0.7642,0.9114,0.6580,3272.40
6,0.000086,0.0497,0.7383,0.8078,0.9066,0.7902,0.8866,0.7128,3221.78
7,0.000080,0.0278,0.7800,0.8199,0.9084,0.8077,0.8823,0.7448,3280.67
8,0.000073,0.0211,0.7506,0.8210,0.9065,0.8118,0.8710,0.7602,3178.04
9,0.000066,0.0182,0.8995,0.8123,0.9104,0.8323,0.7617,0.9174,3284.07
10,0.000058,0.0082,0.7995,0.8285,0.9086,0.8271,0.8476,0.8076,3176.58
11,0.000051,0.0058,0.8347,0.8299,0.9102,0.8297,0.8440,0.8158,3245.14
12,0.000043,0.0035,0.9191,0.8204,0.9051,0.8323,0.7915,0.8776,3250.93
13,0.000035,0.0017,0.8513,0.8358,0.9133,0.8403,0.8302,0.8506,3263.53
14,0.000028,0.0007,0.8712,0.8342,0.9125,0.8374,0.8343,0.8406,3189.40
15,0.000021,0.0005,0.8544,0.8371,0.9145,0.8392,0.8412,0.8372,3238.56
16,0.000015,0.0003,0.8772,0.8363,0.9141,0.8415,0.8275,0.8560,3179.64
17,0.000010,0.0002,0.8875,0.8351,0.9134,0.8410,0.8243,0.8584,3191.43
18,0.000006,0.0002,0.8802,0.8359,0.9145,0.8401,0.8312,0.8492,3178.82
19,0.000003,0.0002,0.8876,0.8358,0.9139,0.8400,0.8311,0.8492,3207.50
20,0.000002,0.0002,0.9108,0.8353,0.9137,0.8428,0.8182,0.8688,3202.56
Test_Set,-,-,-,0.8307,0.9097,0.8349,0.8267,0.8432,-
