epoch,lr,train_loss,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.5414,0.5352,0.7503,0.8777,0.6978,0.9056,0.5676,1622.32
2,0.000100,0.3936,0.4635,0.7751,0.8816,0.7508,0.8587,0.6670,1611.91
3,0.000099,0.3073,0.3930,0.8239,0.9061,0.8265,0.8271,0.8258,1606.21
4,0.000099,0.2139,0.4284,0.8278,0.9086,0.8343,0.8160,0.8534,1614.52
5,0.000098,0.1140,0.5469,0.8178,0.9051,0.8064,0.8758,0.7472,1605.63
6,0.000096,0.0635,0.7265,0.8084,0.8921,0.8157,0.7974,0.8350,1593.36
7,0.000095,0.0417,0.7090,0.8156,0.9003,0.8261,0.7929,0.8622,1599.51
8,0.000093,0.0369,0.7226,0.8223,0.9004,0.8267,0.8193,0.8342,1586.64
9,0.000091,0.0300,1.0029,0.7826,0.8871,0.8073,0.7342,0.8966,1615.67
10,0.000088,0.0225,0.8380,0.8095,0.8935,0.8134,0.8095,0.8174,1600.34
11,0.000086,0.0237,0.8525,0.8147,0.9041,0.8033,0.8717,0.7448,1583.91
12,0.000083,0.0226,0.9387,0.8021,0.8889,0.8067,0.8004,0.8132,1600.07
13,0.000080,0.0192,0.8868,0.8154,0.9033,0.8277,0.7869,0.8730,1573.44
14,0.000076,0.0163,0.9411,0.8187,0.8994,0.8249,0.8093,0.8412,1599.09
15,0.000073,0.0139,1.0460,0.8042,0.9026,0.8225,0.7621,0.8932,1583.81
16,0.000069,0.0123,0.9923,0.8099,0.9047,0.8265,0.7702,0.8916,1580.36
17,0.000066,0.0111,1.0560,0.8144,0.8988,0.8068,0.8560,0.7630,1585.20
18,0.000062,0.0099,1.0473,0.8214,0.9093,0.8336,0.7911,0.8810,1578.43
19,0.000058,0.0076,1.0008,0.8202,0.9049,0.8168,0.8466,0.7890,1592.14
20,0.000054,0.0067,1.1763,0.8057,0.9022,0.8249,0.7605,0.9012,1590.36
21,0.000050,0.0062,1.0553,0.8244,0.9045,0.8305,0.8146,0.8470,1598.99
22,0.000047,0.0042,1.0696,0.8241,0.9090,0.8200,0.8534,0.7892,1601.93
23,0.000043,0.0025,1.0803,0.8207,0.9022,0.8246,0.8196,0.8296,1586.84
24,0.000039,0.0022,1.0660,0.8275,0.9082,0.8324,0.8218,0.8432,3165.88
25,0.000035,0.0027,1.0995,0.8253,0.9094,0.8352,0.8017,0.8716,3131.99
26,0.000032,0.0025,1.1696,0.8255,0.9083,0.8212,0.8561,0.7890,3177.26
27,0.000028,0.0011,1.1035,0.8280,0.9097,0.8314,0.8281,0.8346,3280.39
28,0.000025,0.0006,1.0899,0.8300,0.9112,0.8327,0.8323,0.8330,3167.89
29,0.000021,0.0005,1.0850,0.8323,0.9118,0.8335,0.8407,0.8264,3109.72
30,0.000018,0.0002,1.0996,0.8318,0.9126,0.8359,0.8284,0.8436,3118.91
31,0.000015,0.0002,1.1126,0.8308,0.9125,0.8365,0.8213,0.8522,3121.31
32,0.000013,0.0001,1.1128,0.8319,0.9130,0.8372,0.8237,0.8512,3206.87
33,0.000010,0.0001,1.1313,0.8313,0.9123,0.8369,0.8222,0.8520,3197.03
34,0.000008,0.0001,1.1204,0.8320,0.9130,0.8364,0.8274,0.8456,3146.47
35,0.000006,0.0001,1.1232,0.8329,0.9138,0.8365,0.8313,0.8418,3149.38
36,0.000005,0.0001,1.1338,0.8317,0.9132,0.8338,0.8363,0.8314,3235.67
37,0.000003,0.0000,1.1325,0.8326,0.9133,0.8376,0.8257,0.8498,3187.01
38,0.000002,0.0000,1.1340,0.8319,0.9128,0.8365,0.8266,0.8466,3104.78
39,0.000002,0.0000,1.1321,0.8317,0.9134,0.8357,0.8286,0.8430,3206.46
40,0.000001,0.0000,1.1502,0.8331,0.9133,0.8369,0.8310,0.8428,3233.85
Test_Set,-,-,-,0.8433,0.9164,0.8464,0.8420,0.8508,-
