epoch,train_loss,train_bce,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.4260,0.4255,0.0104,1.0112,0.6874,0.9626,0.5465,1.0000,0.3760,89.33
2,0.1396,0.1391,0.0110,0.2503,0.9068,0.9857,0.9138,0.8515,0.9860,89.51
3,0.0829,0.0825,0.0069,0.1223,0.9609,0.9892,0.9613,0.9528,0.9700,89.37
4,0.0551,0.0548,0.0063,0.1314,0.9529,0.9920,0.9543,0.9282,0.9820,89.74
5,0.0409,0.0406,0.0049,0.6295,0.7234,0.9873,0.7830,0.6451,0.9960,89.70
6,0.0305,0.0302,0.0042,0.1885,0.9509,0.9937,0.9486,0.9978,0.9040,89.17
7,0.0203,0.0201,0.0035,0.5344,0.8778,0.9903,0.8614,0.9974,0.7580,89.93
8,0.0118,0.0117,0.0030,0.1064,0.9669,0.9930,0.9672,0.9606,0.9740,89.26
9,0.0087,0.0085,0.0025,0.1224,0.9649,0.9938,0.9640,0.9936,0.9360,89.46
10,0.0065,0.0064,0.0023,0.1178,0.9709,0.9932,0.9703,0.9937,0.9480,89.24
11,0.0086,0.0085,0.0019,0.1053,0.9669,0.9937,0.9668,0.9736,0.9600,89.58
12,0.0120,0.0119,0.0015,0.3229,0.8988,0.9926,0.9078,0.8353,0.9940,89.83
13,0.0055,0.0054,0.0014,8.1972,0.6343,0.9677,0.4252,1.0000,0.2700,89.39
14,0.0104,0.0104,0.0013,0.1566,0.9579,0.9908,0.9569,0.9831,0.9320,89.74
15,0.0031,0.0030,0.0011,0.3109,0.9198,0.9937,0.9255,0.8659,0.9940,89.62
16,0.0014,0.0014,0.0010,0.1059,0.9679,0.9946,0.9677,0.9756,0.9600,89.16
17,0.0010,0.0010,0.0007,0.1229,0.9719,0.9950,0.9714,0.9917,0.9520,89.57
18,0.0007,0.0007,0.0006,0.1122,0.9719,0.9951,0.9715,0.9896,0.9540,89.60
19,0.0005,0.0005,0.0004,0.1102,0.9729,0.9951,0.9726,0.9876,0.9580,89.31
20,0.0004,0.0004,0.0003,0.1447,0.9719,0.9952,0.9714,0.9937,0.9500,89.79
