epoch,lr,train_loss,train_bce,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.0197,0.0197,0.0375,0.0123,0.9303,0.9933,0.9268,0.9934,0.8686,93.88
2,0.000099,0.0049,0.0049,0.1553,0.0054,0.9705,0.9969,0.9704,0.9914,0.9502,93.91
3,0.000098,0.0031,0.0031,0.2050,0.0057,0.9671,0.9982,0.9684,0.9452,0.9928,93.90
4,0.000095,0.0024,0.0024,0.2315,0.0069,0.9624,0.9989,0.9642,0.9329,0.9978,93.90
5,0.000091,0.0018,0.0018,0.2459,0.0202,0.8804,0.9988,0.8947,0.8097,0.9996,93.99
6,0.000086,0.0014,0.0014,0.2506,0.0038,0.9792,0.9990,0.9798,0.9663,0.9936,93.88
7,0.000080,0.0010,0.0010,0.2592,0.0042,0.9783,0.9983,0.9788,0.9685,0.9894,93.88
8,0.000073,0.0008,0.0008,0.2597,0.1084,0.8313,0.9963,0.8008,1.0000,0.6678,94.00
9,0.000066,0.0005,0.0005,0.2658,0.0051,0.9792,0.9983,0.9792,0.9942,0.9646,94.03
10,0.000058,0.0003,0.0003,0.2663,0.2667,0.7601,0.9933,0.6908,1.0000,0.5276,93.89
11,0.000006,0.0004,0.0004,0.2759,0.0032,0.9862,0.9986,0.9864,0.9870,0.9858,93.88
12,0.000006,0.0003,0.0003,0.2757,0.0031,0.9870,0.9987,0.9872,0.9888,0.9856,93.94
13,0.000005,0.0003,0.0003,0.2758,0.0031,0.9870,0.9987,0.9872,0.9892,0.9852,93.95
14,0.000005,0.0003,0.0003,0.2759,0.0031,0.9868,0.9987,0.9870,0.9884,0.9856,93.93
15,0.000004,0.0003,0.0003,0.2759,0.0031,0.9874,0.9988,0.9876,0.9890,0.9862,94.03
16,0.000003,0.0003,0.0003,0.2758,0.0031,0.9868,0.9988,0.9870,0.9868,0.9872,93.90
17,0.000003,0.0003,0.0003,0.2759,0.0031,0.9872,0.9988,0.9874,0.9874,0.9874,93.95
18,0.000002,0.0002,0.0002,0.2756,0.0031,0.9874,0.9988,0.9876,0.9872,0.9880,93.98
19,0.000001,0.0002,0.0002,0.2758,0.0031,0.9874,0.9988,0.9876,0.9890,0.9862,93.93
20,0.000001,0.0002,0.0002,0.2757,0.0031,0.9873,0.9988,0.9875,0.9882,0.9868,93.97
Test_Set,-,-,-,-,-,0.9798,0.9985,0.9804,0.9673,0.9938,-
