epoch,lr,train_loss,train_bce,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000200,0.0175,0.0175,0.0004,0.0102,0.9384,0.9949,0.9361,0.9900,0.8878,96.31
2,0.000200,0.0040,0.0040,0.0003,0.0034,0.9832,0.9985,0.9834,0.9865,0.9804,96.22
3,0.000199,0.0026,0.0026,0.0001,0.0069,0.9620,0.9984,0.9613,0.9966,0.9284,96.39
4,0.000197,0.0022,0.0022,0.0002,0.0081,0.9574,0.9991,0.9597,0.9242,0.9980,96.39
5,0.000195,0.0018,0.0018,0.0001,0.0030,0.9847,0.9989,0.9850,0.9808,0.9892,96.29
6,0.000192,0.0015,0.0015,0.0001,0.0067,0.9671,0.9992,0.9686,0.9403,0.9986,96.23
7,0.000189,0.0012,0.0012,0.0001,0.0040,0.9790,0.9991,0.9790,0.9955,0.9630,95.97
8,0.000185,0.0009,0.0009,0.0001,0.0027,0.9868,0.9992,0.9871,0.9807,0.9936,96.11
9,0.000181,0.0009,0.0009,0.0001,0.2441,0.5659,0.9958,0.2536,1.0000,0.1452,96.12
10,0.000176,0.0006,0.0006,0.0001,0.1507,0.8008,0.9977,0.8361,0.7183,1.0000,96.33
11,0.000018,0.0003,0.0003,0.0000,0.0022,0.9893,0.9994,0.9895,0.9894,0.9896,96.31
12,0.000018,0.0003,0.0003,0.0000,0.0022,0.9891,0.9994,0.9893,0.9896,0.9890,96.04
13,0.000017,0.0003,0.0003,0.0000,0.0022,0.9889,0.9994,0.9891,0.9908,0.9874,96.09
14,0.000017,0.0003,0.0003,0.0000,0.0023,0.9895,0.9994,0.9897,0.9906,0.9888,96.23
15,0.000017,0.0003,0.0003,0.0000,0.0023,0.9891,0.9994,0.9893,0.9892,0.9894,96.12
16,0.000017,0.0002,0.0002,0.0000,0.0023,0.9895,0.9994,0.9897,0.9902,0.9892,96.02
17,0.000016,0.0002,0.0002,0.0000,0.0023,0.9896,0.9994,0.9898,0.9886,0.9910,96.33
18,0.000015,0.0002,0.0002,0.0000,0.0023,0.9891,0.9994,0.9893,0.9888,0.9898,96.10
19,0.000015,0.0002,0.0002,0.0000,0.0023,0.9894,0.9994,0.9896,0.9896,0.9896,96.26
20,0.000014,0.0002,0.0002,0.0000,0.0024,0.9890,0.9994,0.9892,0.9888,0.9896,96.33
21,0.000013,0.0002,0.0002,0.0000,0.0024,0.9893,0.9994,0.9895,0.9896,0.9894,96.22
22,0.000013,0.0002,0.0002,0.0000,0.0024,0.9890,0.9994,0.9892,0.9898,0.9886,96.10
23,0.000012,0.0002,0.0002,0.0000,0.0024,0.9888,0.9994,0.9890,0.9898,0.9882,96.38
24,0.000011,0.0002,0.0002,0.0000,0.0024,0.9894,0.9994,0.9896,0.9904,0.9888,96.30
25,0.000010,0.0002,0.0002,0.0000,0.0024,0.9893,0.9994,0.9895,0.9892,0.9898,96.38
26,0.000009,0.0002,0.0002,0.0000,0.0025,0.9891,0.9994,0.9893,0.9896,0.9890,96.25
27,0.000008,0.0002,0.0002,0.0000,0.0025,0.9893,0.9994,0.9895,0.9892,0.9898,96.31
28,0.000008,0.0002,0.0002,0.0000,0.0025,0.9893,0.9994,0.9895,0.9900,0.9890,96.37
29,0.000007,0.0002,0.0002,0.0000,0.0025,0.9891,0.9994,0.9893,0.9888,0.9898,96.43
30,0.000006,0.0002,0.0002,0.0000,0.0025,0.9888,0.9994,0.9890,0.9880,0.9900,96.27
31,0.000005,0.0002,0.0002,0.0000,0.0025,0.9891,0.9994,0.9893,0.9894,0.9892,95.80
32,0.000004,0.0002,0.0002,0.0000,0.0025,0.9889,0.9994,0.9891,0.9900,0.9882,95.82
33,0.000004,0.0002,0.0002,0.0000,0.0025,0.9889,0.9994,0.9891,0.9890,0.9892,95.75
34,0.000003,0.0002,0.0002,0.0000,0.0025,0.9892,0.9994,0.9894,0.9898,0.9890,95.86
35,0.000003,0.0002,0.0002,0.0000,0.0025,0.9889,0.9994,0.9891,0.9886,0.9896,96.05
36,0.000002,0.0002,0.0002,0.0000,0.0025,0.9889,0.9994,0.9891,0.9900,0.9882,96.18
37,0.000002,0.0002,0.0002,0.0000,0.0025,0.9890,0.9994,0.9892,0.9892,0.9892,96.38
38,0.000001,0.0002,0.0002,0.0000,0.0025,0.9894,0.9994,0.9896,0.9910,0.9882,96.36
39,0.000001,0.0002,0.0002,0.0000,0.0025,0.9890,0.9994,0.9892,0.9892,0.9892,96.29
40,0.000001,0.0002,0.0002,0.0000,0.0025,0.9889,0.9994,0.9891,0.9900,0.9882,96.37
Test_Set,-,-,-,-,-,0.9879,0.9992,0.9881,0.9890,0.9872,-
