epoch,lr,train_loss,train_focal,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.0410,0.0410,0.0000,0.0398,0.6575,0.7553,0.7365,0.6044,0.9424,823.95
2,0.000099,0.0352,0.0352,0.0000,0.0359,0.7135,0.7796,0.7460,0.6785,0.8284,926.25
3,0.000098,0.0338,0.0338,0.0000,0.0344,0.7248,0.7980,0.7396,0.7119,0.7696,886.43
4,0.000095,0.0325,0.0325,0.0000,0.0337,0.7344,0.8105,0.7668,0.6919,0.8600,943.22
5,0.000091,0.0315,0.0315,0.0000,0.0347,0.7201,0.8217,0.7688,0.6622,0.9162,1077.87
6,0.000086,0.0308,0.0308,0.0000,0.0324,0.7430,0.8235,0.7528,0.7360,0.7704,836.92
7,0.000080,0.0303,0.0303,0.0000,0.0333,0.7303,0.8343,0.7766,0.6702,0.9232,895.76
8,0.000073,0.0290,0.0290,0.0000,0.0319,0.7478,0.8473,0.7864,0.6900,0.9142,871.94
9,0.000066,0.0286,0.0286,0.0000,0.0307,0.7601,0.8463,0.7745,0.7409,0.8114,905.45
10,0.000058,0.0281,0.0281,0.0000,0.0310,0.7495,0.8570,0.7879,0.6913,0.9158,1063.30
11,0.000051,0.0275,0.0275,0.0000,0.0299,0.7662,0.8643,0.7961,0.7144,0.8990,836.45
12,0.000043,0.0268,0.0268,0.0000,0.0296,0.7678,0.8671,0.7965,0.7177,0.8946,869.21
13,0.000035,0.0264,0.0264,0.0000,0.0302,0.7655,0.8687,0.7983,0.7086,0.9140,938.56
14,0.000028,0.0260,0.0260,0.0000,0.0285,0.7819,0.8726,0.7999,0.7491,0.8580,870.74
15,0.000021,0.0256,0.0256,0.0000,0.0281,0.7845,0.8767,0.7982,0.7609,0.8394,1102.68
16,0.000015,0.0253,0.0253,0.0000,0.0281,0.7879,0.8784,0.8046,0.7560,0.8600,846.67
17,0.000010,0.0250,0.0250,0.0000,0.0282,0.7864,0.8770,0.8031,0.7550,0.8578,864.63
18,0.000006,0.0247,0.0247,0.0000,0.0280,0.7883,0.8777,0.7995,0.7704,0.8308,906.54
19,0.000003,0.0247,0.0247,0.0000,0.0280,0.7884,0.8794,0.8049,0.7569,0.8594,937.82
20,0.000002,0.0244,0.0244,0.0000,0.0280,0.7858,0.8807,0.8063,0.7455,0.8778,1003.14
Test_Set,-,-,-,-,-,0.7902,0.8819,0.8115,0.7459,0.8898,-
