epoch,lr,train_loss,train_focal,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.0335,0.0335,0.0015,0.0542,0.5810,0.8469,0.3131,0.9353,0.1880,1312.69
2,0.000099,0.0253,0.0253,0.0017,0.0274,0.7980,0.8862,0.8092,0.7774,0.8438,1286.45
3,0.000098,0.0214,0.0214,0.0016,0.0824,0.5589,0.8406,0.6969,0.5352,0.9986,1227.00
4,0.000095,0.0175,0.0175,0.0016,0.1923,0.5215,0.8999,0.1100,0.9932,0.0582,1183.53
5,0.000091,0.0149,0.0149,0.0016,0.0524,0.6326,0.9203,0.7337,0.5806,0.9964,1330.84
6,0.000086,0.0122,0.0122,0.0016,0.7660,0.5081,0.8202,0.6737,0.5080,1.0000,1272.38
7,0.000080,0.0100,0.0100,0.0017,0.0600,0.6813,0.9346,0.7598,0.6155,0.9924,1318.68
8,0.000073,0.0075,0.0075,0.0017,0.1193,0.6269,0.9391,0.4244,0.9804,0.2708,1260.61
9,0.000066,0.0063,0.0063,0.0015,1.7870,0.5080,0.7941,0.6737,0.5079,1.0000,1242.54
10,0.000058,0.0049,0.0049,0.0015,0.5405,0.5165,0.8912,0.6775,0.5123,0.9998,1277.01
11,0.000051,0.0037,0.0037,0.0016,0.0171,0.8979,0.9635,0.8987,0.9061,0.8914,1240.28
12,0.000043,0.0029,0.0029,0.0016,0.1299,0.6447,0.9670,0.4632,0.9954,0.3018,1269.60
13,0.000035,0.0024,0.0024,0.0016,0.0553,0.7797,0.9724,0.7252,0.9893,0.5724,1259.39
14,0.000028,0.0018,0.0018,0.0016,0.0571,0.7659,0.9698,0.8114,0.6867,0.9914,1304.74
15,0.000021,0.0015,0.0015,0.0016,0.0927,0.6882,0.9675,0.7645,0.6201,0.9964,1301.22
16,0.000015,0.0013,0.0013,0.0016,0.2455,0.5784,0.9656,0.2908,0.9977,0.1702,1312.61
17,0.000010,0.0012,0.0012,0.0016,0.0306,0.8678,0.9721,0.8530,0.9795,0.7554,1317.56
18,0.000006,0.0011,0.0011,0.0016,0.0260,0.8843,0.9762,0.8737,0.9803,0.7880,1275.81
19,0.000003,0.0010,0.0010,0.0016,0.0185,0.9028,0.9753,0.9095,0.8623,0.9622,1321.82
20,0.000002,0.0010,0.0010,0.0016,0.0152,0.9226,0.9764,0.9222,0.9415,0.9038,1276.99
Test_Set,-,-,-,-,-,0.9248,0.9774,0.9244,0.9439,0.9056,-
