epoch,lr,train_loss,train_focal,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.0321,0.0320,0.0002,0.0369,0.7146,0.8119,0.6882,0.7729,0.6202,1277.66
2,0.000099,0.0162,0.0161,0.0005,0.0141,0.9048,0.9857,0.9132,0.8509,0.9852,1305.18
3,0.000098,0.0068,0.0068,0.0003,0.0171,0.8974,0.9948,0.9080,0.8339,0.9964,1350.87
4,0.000095,0.0043,0.0043,0.0002,0.0057,0.9668,0.9968,0.9680,0.9467,0.9904,1254.15
5,0.000091,0.0031,0.0031,0.0002,0.0040,0.9785,0.9978,0.9787,0.9838,0.9736,1321.90
6,0.000086,0.0024,0.0024,0.0002,0.1040,0.7691,0.9972,0.8148,0.6875,1.0000,1326.63
7,0.000080,0.0019,0.0019,0.0001,0.0086,0.9505,0.9983,0.9490,0.9963,0.9060,1324.43
8,0.000073,0.0015,0.0015,0.0001,0.0074,0.9590,0.9979,0.9581,0.9959,0.9230,1361.82
9,0.000066,0.0011,0.0011,0.0001,0.0953,0.8039,0.9977,0.8382,0.7214,1.0000,1359.51
10,0.000058,0.0009,0.0009,0.0001,0.0509,0.8535,0.9983,0.8740,0.7762,0.9998,1263.05
11,0.000051,0.0007,0.0007,0.0001,0.0024,0.9868,0.9991,0.9870,0.9858,0.9882,1289.80
12,0.000043,0.0006,0.0006,0.0001,0.1016,0.6500,0.9977,0.4742,1.0000,0.3108,1277.71
13,0.000035,0.0004,0.0004,0.0000,0.0184,0.9092,0.9987,0.9019,0.9995,0.8216,1343.71
14,0.000028,0.0003,0.0003,0.0000,0.0039,0.9789,0.9990,0.9789,0.9950,0.9632,1315.13
15,0.000021,0.0003,0.0003,0.0000,0.0026,0.9870,0.9990,0.9872,0.9882,0.9862,1319.78
16,0.000015,0.0002,0.0002,0.0000,0.0073,0.9619,0.9987,0.9611,0.9972,0.9276,1299.23
17,0.000010,0.0002,0.0002,0.0000,0.0026,0.9861,0.9991,0.9864,0.9799,0.9930,1289.84
18,0.000006,0.0002,0.0002,0.0000,0.0039,0.9800,0.9991,0.9806,0.9662,0.9954,1335.67
19,0.000003,0.0002,0.0002,0.0000,0.0025,0.9886,0.9991,0.9888,0.9888,0.9888,1324.39
20,0.000002,0.0002,0.0002,0.0000,0.0025,0.9877,0.9991,0.9879,0.9907,0.9850,1236.42
Test_Set,-,-,-,-,-,0.9869,0.9991,0.9871,0.9870,0.9872,-
