epoch,lr,train_loss,train_focal,train_orth,val_loss,val_acc,val_auc,val_f1,val_precision,val_recall,inference_fps
1,0.000100,0.0274,0.0273,0.0004,0.0388,0.7580,0.9678,0.8071,0.6782,0.9964,1157.22
2,0.000099,0.0096,0.0095,0.0002,0.0111,0.9300,0.9910,0.9347,0.8882,0.9864,1175.85
3,0.000098,0.0056,0.0055,0.0002,0.0062,0.9644,0.9946,0.9650,0.9657,0.9642,1302.60
4,0.000095,0.0039,0.0038,0.0001,0.0250,0.8825,0.9954,0.8961,0.8132,0.9978,1261.10
5,0.000091,0.0028,0.0028,0.0001,0.0469,0.8521,0.9943,0.8727,0.7751,0.9986,1227.50
6,0.000086,0.0023,0.0023,0.0001,0.0282,0.8350,0.9975,0.8062,0.9997,0.6754,1190.66
7,0.000080,0.0018,0.0017,0.0001,0.0087,0.9533,0.9985,0.9559,0.9184,0.9966,1231.86
8,0.000073,0.0014,0.0014,0.0001,0.0504,0.7507,0.9976,0.6748,1.0000,0.5092,1202.74
9,0.000066,0.0011,0.0010,0.0001,0.0068,0.9649,0.9987,0.9665,0.9379,0.9968,1230.03
10,0.000058,0.0008,0.0008,0.0001,0.0048,0.9757,0.9971,0.9760,0.9795,0.9726,1194.88
11,0.000051,0.0008,0.0008,0.0000,0.0078,0.9601,0.9989,0.9621,0.9294,0.9972,1290.80
12,0.000043,0.0005,0.0005,0.0000,0.0233,0.8868,0.9980,0.8748,0.9987,0.7782,1283.51
13,0.000035,0.0004,0.0004,0.0000,0.0350,0.8915,0.9989,0.9035,0.8243,0.9994,1291.35
14,0.000028,0.0003,0.0003,0.0000,0.0109,0.9511,0.9991,0.9540,0.9134,0.9984,1296.72
15,0.000021,0.0003,0.0002,0.0000,0.0027,0.9875,0.9991,0.9877,0.9911,0.9842,1212.69
16,0.000015,0.0002,0.0002,0.0000,0.0026,0.9858,0.9992,0.9861,0.9806,0.9916,1284.90
17,0.000010,0.0002,0.0002,0.0000,0.0040,0.9794,0.9991,0.9800,0.9647,0.9958,1212.08
18,0.000006,0.0002,0.0002,0.0000,0.0038,0.9811,0.9990,0.9811,0.9963,0.9664,1300.79
19,0.000003,0.0002,0.0002,0.0000,0.0024,0.9870,0.9992,0.9872,0.9878,0.9866,1271.94
20,0.000002,0.0002,0.0002,0.0000,0.0024,0.9870,0.9992,0.9872,0.9864,0.9880,1260.09
Test_Set,-,-,-,-,-,0.9890,0.9991,0.9892,0.9888,0.9896,-
